iter	RMSE
0	4779.341096
1	4680.237542
2	4591.154725
3	4505.010776
4	4419.728998
5	4344.531622
6	4277.125197
7	4213.60661
8	4137.397039
9	4086.915627
10	4033.770012
11	3965.896075
12	3911.891716
13	3859.59176
14	3800.897416
15	3764.857928
16	3716.390267
17	3674.009279
18	3637.271431
19	3612.142905
20	3575.509964
21	3546.515853
22	3524.499505
23	3507.583801
24	3483.773389
25	3457.612057
26	3427.273039
27	3408.844797
28	3382.58726
29	3368.249768
30	3357.322366
31	3338.162625
32	3324.821042
33	3312.962992
34	3295.817786
35	3284.364777
36	3270.176467
37	3262.81057
38	3250.694151
39	3241.765078
40	3233.712833
41	3219.35253
42	3214.618776
43	3204.153967
44	3198.258557
45	3192.920589
46	3183.408896
47	3175.1011
48	3169.670008
49	3161.524188
50	3154.275114
51	3147.375169
52	3139.078553
53	3128.992315
54	3124.983107
55	3120.928709
56	3116.119542
57	3104.894382
58	3095.904596
59	3091.908458
60	3085.290169
61	3078.011187
62	3070.357312
63	3065.367774
64	3062.199038
65	3058.832194
66	3051.364081
67	3045.247455
68	3042.751489
69	3040.101665
70	3037.525381
71	3029.875413
72	3026.259487
73	3022.245995
74	3019.378348
75	3016.019859
76	3013.687325
77	3010.764451
78	3006.050823
79	3004.107693
80	3002.388985
81	2999.516344
82	2994.49282
83	2989.529843
84	2986.791286
85	2982.334232
86	2978.630226
87	2975.884304
88	2974.924076
89	2972.224555
90	2968.927026
91	2965.678628
92	2961.893822
93	2956.874982
94	2954.889701
95	2950.405252
96	2948.647269
97	2945.072526
98	2941.724751
99	2939.086499
100	2934.667914
101	2931.885007
102	2929.062563
103	2925.737228
104	2923.02388
105	2919.415231
106	2917.665885
107	2914.597584
108	2912.239795
109	2910.451622
110	2908.670545
111	2905.964192
112	2904.378342
113	2902.319419
114	2900.175979
115	2898.329327
116	2895.538888
117	2893.954601
118	2892.21299
119	2888.176145
120	2886.838551
121	2884.019572
122	2881.987236
123	2879.071374
124	2877.970189
125	2875.027874
126	2872.478053
127	2871.76555
128	2868.211284
129	2866.039244
130	2863.259844
131	2860.523215
132	2859.023572
133	2855.710551
134	2854.818277
135	2853.101425
136	2850.622687
137	2848.777344
138	2846.241555
139	2844.888189
140	2842.665186
141	2840.74996
142	2839.265171
143	2837.422856
144	2835.706575
145	2833.198295
146	2831.747348
147	2830.016618
148	2828.018611
149	2826.191859
150	2824.147891
151	2821.375651
152	2819.882612
153	2817.598097
154	2815.75938
155	2813.365324
156	2812.213185
157	2810.774735
158	2808.77972
159	2807.25802
160	2806.031106
161	2805.125874
162	2803.893888
163	2802.31377
164	2800.422659
165	2798.475605
166	2797.445324
167	2796.391552
168	2793.670642
169	2791.771881
170	2789.944488
171	2787.913803
172	2786.215079
173	2783.882588
174	2782.391482
175	2780.987478
176	2779.310023
177	2777.765743
178	2775.441417
179	2772.574299
180	2771.013367
181	2768.746707
182	2767.418981
183	2765.918947
184	2764.56894
185	2762.789882
186	2760.554084
187	2758.188541
188	2757.27402
189	2753.983802
190	2753.0318
191	2750.675383
192	2749.449579
193	2747.376715
194	2745.755315
195	2744.522064
196	2743.183559
197	2740.886486
198	2739.234776
199	2737.601439
200	2736.404899
201	2735.182425
202	2733.997677
203	2732.228094
204	2729.960145
205	2728.590198
206	2727.735834
207	2726.467042
208	2725.644523
209	2723.548658
210	2721.989666
211	2720.830701
212	2718.796126
213	2717.233654
214	2715.985874
215	2714.599014
216	2712.15205
217	2710.895193
218	2709.485548
219	2708.233403
220	2707.21481
221	2705.907161
222	2703.419913
223	2701.77836
224	2701.00204
225	2698.650825
226	2697.515631
227	2696.095164
228	2694.886624
229	2693.774407
230	2693.049385
231	2691.269406
232	2689.305664
233	2687.81734
234	2686.984926
235	2685.922786
236	2683.172091
237	2681.766189
238	2680.757502
239	2679.900903
240	2679.42812
241	2678.34641
242	2677.366445
243	2676.719496
244	2675.035862
245	2673.355431
246	2672.107865
247	2670.991697
248	2669.522188
249	2666.681739
250	2664.993034
251	2663.50018
252	2662.24131
253	2661.533534
254	2660.276102
255	2658.919078
256	2656.804594
257	2656.281295
258	2655.413802
259	2654.039696
260	2652.309216
261	2651.528324
262	2650.181175
263	2648.560079
264	2646.85441
265	2645.887675
266	2644.302457
267	2643.374296
268	2642.291138
269	2640.550654
270	2639.698004
271	2638.911901
272	2638.080556
273	2636.755796
274	2635.007577
275	2633.57105
276	2632.401709
277	2629.701954
278	2629.162611
279	2628.63284
280	2628.004011
281	2627.084579
282	2626.328237
283	2625.458027
284	2624.074927
285	2622.611703
286	2622.03404
287	2621.222195
288	2619.992612
289	2617.53911
290	2616.232665
291	2615.08235
292	2614.110506
293	2612.653507
294	2611.21715
295	2609.814405
296	2609.110373
297	2608.024616
298	2606.399606
299	2605.690373
300	2604.88212
301	2604.354092
302	2603.496701
303	2602.335966
304	2600.876562
305	2600.312038
306	2598.068162
307	2597.415586
308	2596.88214
309	2596.094851
310	2595.132745
311	2593.54191
312	2592.658451
313	2591.619851
314	2591.158826
315	2590.183693
316	2588.914122
317	2587.285118
318	2586.5923
319	2585.349805
320	2584.869833
321	2583.199695
322	2582.774956
323	2581.153486
324	2580.192001
325	2578.423734
326	2576.762071
327	2574.947879
328	2573.983199
329	2573.245311
330	2572.458688
331	2571.931485
332	2570.999744
333	2568.991468
334	2567.617939
335	2566.36137
336	2565.510569
337	2564.59972
338	2563.548727
339	2562.168381
340	2560.593485
341	2559.705209
342	2559.222814
343	2558.107804
344	2557.609
345	2555.405586
346	2554.645328
347	2554.061325
348	2553.6254
349	2552.654512
350	2550.855557
351	2549.510999
352	2548.347738
353	2547.519533
354	2547.089759
355	2546.2803
356	2545.144756
357	2544.149573
358	2543.472678
359	2542.96793
360	2542.734229
361	2542.128615
362	2541.048703
363	2540.295763
364	2539.187727
365	2538.649577
366	2537.313585
367	2535.040222
368	2532.847023
369	2531.386776
370	2530.958632
371	2530.065737
372	2527.832431
373	2526.658825
374	2525.844782
375	2524.837767
376	2524.434775
377	2523.945508
378	2523.261634
379	2522.695632
380	2521.117267
381	2520.324364
382	2519.656029
383	2519.42768
384	2518.028158
385	2516.838072
386	2516.049248
387	2514.818271
388	2514.089165
389	2513.651953
390	2512.749261
391	2511.706006
392	2510.570778
393	2508.835581
394	2508.47401
395	2507.945333
396	2507.285894
397	2505.246751
398	2504.46858
399	2503.811294
400	2503.346062
401	2502.215908
402	2501.865565
403	2500.825904
404	2499.928642
405	2498.804917
406	2497.177264
407	2496.852951
408	2496.145702
409	2495.662126
410	2493.299261
411	2492.4496
412	2491.131339
413	2490.771671
414	2490.090192
415	2488.041297
416	2487.176757
417	2486.271799
418	2485.317987
419	2484.1067
420	2482.791694
421	2481.63457
422	2480.627297
423	2479.463417
424	2478.332543
425	2476.770219
426	2474.996635
427	2473.809038
428	2473.046872
429	2472.145033
430	2471.178102
431	2470.728137
432	2469.0476
433	2468.454071
434	2467.954024
435	2467.121946
436	2465.236469
437	2463.99146
438	2462.696176
439	2461.871163
440	2461.19684
441	2460.432285
442	2459.550492
443	2458.908907
444	2458.176407
445	2457.633792
446	2456.172083
447	2455.396935
448	2453.911379
449	2453.316057
450	2452.082001
451	2451.218317
452	2450.352857
453	2449.19004
454	2448.227651
455	2447.06706
456	2446.641669
457	2445.568291
458	2444.765053
