iter	Passed	Remaining
0	149	149812
1	159	79409
2	165	54901
3	171	42654
4	176	35155
5	181	30146
6	185	26359
7	188	23415
8	191	21124
9	194	19291
10	197	17784
11	200	16546
12	204	15488
13	207	14580
14	209	13786
15	212	13095
16	215	12470
17	218	11910
18	220	11409
19	223	10954
20	226	10544
21	228	10177
22	231	9836
23	234	9522
24	236	9231
25	239	8963
26	241	8714
27	244	8486
28	247	8270
29	249	8069
30	252	7882
31	254	7704
32	257	7537
33	259	7378
34	262	7229
35	264	7088
36	267	6955
37	269	6829
38	272	6708
39	274	6593
40	277	6484
41	279	6379
42	282	6279
43	284	6185
44	287	6096
45	289	6010
46	292	5928
47	294	5847
48	297	5773
49	299	5699
50	302	5627
51	304	5559
52	307	5491
53	309	5425
54	312	5366
55	314	5307
56	317	5252
57	319	5193
58	322	5140
59	324	5088
60	327	5038
61	329	4990
62	332	4945
63	335	4900
64	337	4856
65	340	4813
66	342	4771
67	345	4731
68	347	4693
69	350	4655
70	352	4618
71	355	4581
72	358	4546
73	360	4512
74	363	4479
75	365	4446
76	368	4416
77	371	4390
78	374	4361
79	376	4331
80	379	4302
81	381	4273
82	384	4246
83	387	4226
84	390	4204
85	393	4180
86	396	4163
87	399	4138
88	401	4107
89	404	4085
90	406	4061
91	409	4038
92	411	4015
93	414	3991
94	416	3969
95	419	3948
96	421	3926
97	424	3906
98	426	3885
99	429	3865
100	431	3844
101	434	3825
102	437	3805
103	439	3786
104	442	3768
105	444	3749
106	447	3732
107	449	3714
108	452	3697
109	454	3679
110	457	3662
111	459	3645
112	462	3629
113	464	3613
114	467	3597
115	470	3582
116	472	3566
117	475	3552
118	477	3537
119	480	3522
120	482	3507
121	485	3492
122	487	3478
123	490	3464
124	492	3450
125	495	3437
126	498	3423
127	500	3410
128	503	3397
129	505	3385
130	508	3371
131	510	3358
132	513	3346
133	515	3334
134	518	3321
135	521	3313
136	524	3304
137	527	3292
138	529	3280
139	532	3269
140	534	3258
141	537	3247
142	540	3236
143	542	3225
144	545	3213
145	547	3203
146	550	3192
147	552	3181
148	555	3171
149	557	3160
150	560	3150
151	562	3140
152	565	3130
153	568	3120
154	570	3110
155	573	3100
156	575	3090
157	578	3081
158	580	3071
159	583	3062
160	585	3052
161	588	3043
162	590	3033
163	593	3024
164	595	3015
165	598	3006
166	600	2997
167	603	2988
168	605	2979
169	608	2970
170	610	2961
171	613	2954
172	616	2946
173	618	2938
174	621	2930
175	624	2924
176	627	2917
177	630	2910
178	632	2902
179	636	2897
180	638	2890
181	641	2883
182	644	2875
183	646	2868
184	649	2860
185	651	2853
186	654	2845
187	657	2838
188	660	2832
189	662	2826
190	665	2819
